"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"VIM",1.62576851791887e-70,0.344899769509049,0.997,0.99,2.81859487951595e-66,"PC RSPO3","VIM"
"SRGAP3",2.34232568525187e-70,0.486497919351376,0.314,0.16,4.06089004052117e-66,"PC RSPO3","SRGAP3"
"WWC1",6.78949952017689e-70,0.398469023238994,0.141,0.047,1.17709553181307e-65,"PC RSPO3","WWC1"
"RBMS1",1.50686041662826e-69,0.312644921347747,0.112,0.031,2.61244390430841e-65,"PC RSPO3","RBMS1"
"NACA",8.57753987822703e-69,0.262540723659288,0.997,0.995,1.48708808868822e-64,"PC RSPO3","NACA"
"UBE2E2",4.27942235557292e-68,0.405955300058045,0.181,0.071,7.41923453785678e-64,"PC RSPO3","UBE2E2"
"PLCB1",8.42807721977696e-68,0.27017709132483,0.104,0.027,1.46117574759273e-63,"PC RSPO3","PLCB1"
"KCNJ13",1.50246172946411e-67,0.342595629254817,0.123,0.037,2.60481790037192e-63,"PC RSPO3","KCNJ13"
"DPYSL3",2.39074497587479e-66,0.479444672161868,0.463,0.285,4.14483456467412e-62,"PC RSPO3","DPYSL3"
"AZU1",3.22187370490195e-63,0.404819339708889,0.326,0.173,5.58576244218851e-59,"PC RSPO3","AZU1"
"OST4",5.19069009198148e-62,0.404916987713698,0.691,0.509,8.99909941246829e-58,"PC RSPO3","OST4"
"C1QTNF4",4.735299919352e-61,0.470681830925413,0.365,0.211,8.20958947018057e-57,"PC RSPO3","C1QTNF4"
"NTM",1.04796496387812e-60,0.329777568494801,0.116,0.037,1.81685685787549e-56,"PC RSPO3","NTM"
"ELAVL4",2.04099175184254e-60,0.375984065513109,0.225,0.101,3.53846740016941e-56,"PC RSPO3","ELAVL4"
"JUNB",3.49426259925273e-60,0.318209274582175,0.102,0.029,6.05800306832445e-56,"PC RSPO3","JUNB"
"OTX1",1.00272318221362e-59,0.324055858317387,0.135,0.047,1.73842118100375e-55,"PC RSPO3","OTX1"
"MAD2L2",1.22057899510369e-59,0.445278758179595,0.354,0.203,2.11611780381126e-55,"PC RSPO3","MAD2L2"
"FBXO21",5.8565760056506e-59,0.413497119172583,0.357,0.203,1.01535458209964e-54,"PC RSPO3","FBXO21"
"PTPN12",4.93105188761348e-58,0.35679851732526,0.212,0.096,8.54896465755549e-54,"PC RSPO3","PTPN12"
"TIFA",1.2804397568979e-57,0.359439973206516,0.208,0.093,2.21989840653388e-53,"PC RSPO3","TIFA"
"FUOM",4.31844313041409e-57,0.4115327799679,0.656,0.484,7.4868848551989e-53,"PC RSPO3","FUOM"
"CEMIP2",5.22313599471674e-56,0.294679342654273,0.132,0.047,9.05535087404041e-52,"PC RSPO3","CEMIP2"
"SERP2",3.37828359007671e-55,0.386588941286264,0.273,0.143,5.85693026011599e-51,"PC RSPO3","SERP2"
"TPT11",9.49536936224583e-55,0.257785677939252,0.962,0.932,1.64621218633256e-50,"PC RSPO3","TPT1"
"FMNL2",1.18237327217839e-54,0.341185736930365,0.178,0.076,2.04988054197567e-50,"PC RSPO3","FMNL2"
"DAAM1",1.22144059907779e-53,0.400092918335603,0.283,0.153,2.11761156662116e-49,"PC RSPO3","DAAM1"
"SSR2",3.49023601603626e-53,0.404742848690116,0.51,0.342,6.05102218100206e-49,"PC RSPO3","SSR2"
"CELF2",7.26514631920224e-53,0.432019015558284,0.4,0.248,1.25955841736009e-48,"PC RSPO3","CELF2"
"APP",1.96397654428559e-52,0.424731680024095,0.427,0.271,3.40494613482793e-48,"PC RSPO3","APP"
"CRISPLD1",2.45732754484417e-52,0.386955401245629,0.188,0.086,4.26026876449634e-48,"PC RSPO3","CRISPLD1"
"FZD7",2.27412458505689e-50,0.300037160848785,0.122,0.044,3.94264979311314e-46,"PC RSPO3","FZD7"
"TSPAN18",3.81696912331682e-50,0.328734161426765,0.148,0.061,6.61747936909437e-46,"PC RSPO3","TSPAN18"
"SELENOM",4.37234934157944e-50,0.350264064377415,0.197,0.093,7.58034205349628e-46,"PC RSPO3","SELENOM"
"ITM2B",1.28666257654017e-49,0.35173502968743,0.76,0.616,2.2306869089477e-45,"PC RSPO3","ITM2B"
"PREX2",2.65472809341771e-49,0.272093698019471,0.143,0.057,4.60250209555828e-45,"PC RSPO3","PREX2"
"DDAH2",2.19516588710696e-48,0.367163295352692,0.706,0.551,3.80575909847733e-44,"PC RSPO3","DDAH2"
"MAP7D3",2.42521108575144e-48,0.369792715633542,0.287,0.16,4.20458845936727e-44,"PC RSPO3","MAP7D3"
"AFDN",2.44726893270494e-48,0.370748961131011,0.433,0.278,4.24283014863056e-44,"PC RSPO3","AFDN"
"EPHA4",6.50793365621569e-48,0.404059206850226,0.302,0.173,1.12828045797811e-43,"PC RSPO3","EPHA4"
"CITED2",1.59729523996746e-46,0.330723286747416,0.194,0.094,2.76923075753159e-42,"PC RSPO3","CITED2"
"FANCF",1.79265447392563e-46,0.352868769688584,0.216,0.11,3.10792506144487e-42,"PC RSPO3","FANCF"
"IER5",2.00994211440331e-46,0.284913642958819,0.127,0.05,3.48463664374102e-42,"PC RSPO3","IER5"
"TLE1",2.23757372389832e-46,0.304874589416799,0.261,0.139,3.87928156512252e-42,"PC RSPO3","TLE1"
"TBC1D7",4.33075112109711e-46,0.34018125225174,0.229,0.119,7.50822321864606e-42,"PC RSPO3","TBC1D7"
"RPS25",1.65668305136402e-45,0.303028126569977,0.866,0.74,2.8721914061498e-41,"PC RSPO3","RPS25"
"TPI11",2.18185444715834e-45,0.363522906831921,0.801,0.673,3.78268105503841e-41,"PC RSPO3","TPI1"
"FNBP1L",3.84974329365556e-45,0.352320800616141,0.456,0.305,6.67429994821064e-41,"PC RSPO3","FNBP1L"
"FLRT2",1.15826422890261e-44,0.270947605954763,0.101,0.036,2.00808269364846e-40,"PC RSPO3","FLRT2"
"GUCY1A2",2.22436574266604e-44,0.304931467367245,0.132,0.054,3.85638288806011e-40,"PC RSPO3","GUCY1A2"
"TMEM263",1.82416366066434e-43,0.351567366748259,0.252,0.139,3.16255253849376e-39,"PC RSPO3","TMEM263"
"ZIC31",1.93480111411142e-43,0.352143305235651,0.212,0.11,3.35436469153497e-39,"PC RSPO3","ZIC3"
"RNF146",2.61035329399073e-43,0.353714837151127,0.238,0.127,4.52556950579173e-39,"PC RSPO3","RNF146"
"PMEPA1",3.98493458853861e-43,0.251703297948616,0.146,0.063,6.90868109614939e-39,"PC RSPO3","PMEPA1"
"SPATA13",9.04628044637878e-43,0.371705455271177,0.248,0.137,1.56835364098869e-38,"PC RSPO3","SPATA13"
"ARF5",1.8844360648181e-42,0.327711597807752,0.773,0.665,3.26704680557513e-38,"PC RSPO3","ARF5"
"LOC711690",2.17547731202348e-42,0.345836143299802,0.17,0.081,3.77162501585511e-38,"PC RSPO3","LOC711690"
"PLTP",2.48877415378469e-42,0.326771038277053,0.244,0.134,4.31478775041652e-38,"PC RSPO3","PLTP"
"TENM4",6.55529258198796e-42,0.255636274099111,0.114,0.044,1.13649107493925e-37,"PC RSPO3","TENM4"
"C4H6orf120",2.34952236241071e-41,0.300435216436416,0.218,0.114,4.07336691971145e-37,"PC RSPO3","C4H6orf120"
"TMEM167A",2.69028282973333e-41,0.329120117882601,0.655,0.512,4.66414334190868e-37,"PC RSPO3","TMEM167A"
"BICD1",3.72120959040384e-41,0.28467757806746,0.162,0.076,6.45146106688314e-37,"PC RSPO3","BICD1"
"USP441",2.11660757415145e-40,0.288844002978931,0.15,0.068,3.66956255130637e-36,"PC RSPO3","USP44"
"SEMA6A1",4.75711567056658e-40,0.255611857301638,0.14,0.062,8.24741143806129e-36,"PC RSPO3","SEMA6A"
"NFIB2",1.66177305035913e-39,0.435132288186611,0.481,0.339,2.88101593740762e-35,"PC RSPO3","NFIB"
"C6H5orf49",2.63608241135701e-39,0.258613955822811,0.24,0.132,4.57017607656965e-35,"PC RSPO3","C6H5orf49"
"VANGL2",3.32193202494712e-39,0.30698874577746,0.238,0.131,5.75923355165083e-35,"PC RSPO3","VANGL2"
"TMEM14A",8.62786782392887e-39,0.332096472756613,0.262,0.152,1.49581344463455e-34,"PC RSPO3","TMEM14A"
"KDM5B",1.84769351946604e-38,0.325293759417621,0.289,0.171,3.20334625469828e-34,"PC RSPO3","KDM5B"
"GUK1",3.18062973995111e-38,0.367404545868444,0.449,0.312,5.51425778015324e-34,"PC RSPO3","GUK1"
"CEP112",4.56519863289666e-38,0.312568971722752,0.149,0.07,7.91468486985294e-34,"PC RSPO3","CEP112"
"ABRACL",7.48840778783576e-38,0.31867715651189,0.335,0.208,1.29826525817709e-33,"PC RSPO3","ABRACL"
"TSPAN13",1.052004299477e-37,0.32284934886539,0.268,0.157,1.82385985400327e-33,"PC RSPO3","TSPAN13"
"RCN1",1.38400271124665e-37,0.338638225797238,0.516,0.371,2.39944550048831e-33,"PC RSPO3","RCN1"
"PLPPR3",1.83370699104279e-37,0.279376602530545,0.214,0.114,3.17909781037089e-33,"PC RSPO3","PLPPR3"
"CLU",2.07511786136569e-37,0.460910846137351,0.284,0.173,3.59763183624969e-33,"PC RSPO3","CLU"
"ZNF428",2.8902092430176e-37,0.293535759798297,0.739,0.606,5.01075576461961e-33,"PC RSPO3","ZNF428"
"P4HA1",5.29861032454821e-37,0.291505508604756,0.164,0.08,9.18620071966922e-33,"PC RSPO3","P4HA1"
"RPS27",1.13813687133841e-36,0.479124525141622,0.923,0.839,1.97318789383941e-32,"PC RSPO3","RPS27"
"RTN4",1.58957540010438e-36,0.305771712131309,0.689,0.548,2.75584687116097e-32,"PC RSPO3","RTN4"
"BACH2",2.2025605853008e-36,0.287727107523857,0.194,0.102,3.81857928673599e-32,"PC RSPO3","BACH2"
"ASTN1",2.91595484512441e-36,0.266339918549255,0.104,0.042,5.05539091499219e-32,"PC RSPO3","ASTN1"
"EIF3L1",3.05134119576801e-36,0.290987346389515,0.777,0.658,5.290110231103e-32,"PC RSPO3","EIF3L"
"MID1",4.66831029462817e-36,0.283915050459876,0.162,0.081,8.09344955779686e-32,"PC RSPO3","MID1"
"GJA1",6.26047736699059e-36,0.326365490606638,0.173,0.089,1.08537896111516e-31,"PC RSPO3","GJA1"
"SRD5A3",7.36488681769626e-36,0.264055297194177,0.137,0.063,1.276850427584e-31,"PC RSPO3","SRD5A3"
"GPC11",1.3793157355701e-35,0.296964719495081,0.271,0.16,2.39131969075787e-31,"PC RSPO3","GPC1"
"SPINK2",1.7773101241563e-35,0.297884951380959,0.195,0.105,3.08132256224978e-31,"PC RSPO3","SPINK2"
"COTL12",5.01279088832363e-35,0.321010230100387,0.317,0.201,8.69067556308667e-31,"PC RSPO3","COTL1"
"ZFP36L21",5.3252148890597e-35,0.329212171534419,0.294,0.18,9.2323250531628e-31,"PC RSPO3","ZFP36L2"
"CROCC",1.74010364121644e-34,0.274927018689712,0.129,0.059,3.01681768277694e-30,"PC RSPO3","CROCC"
"FAM110B",1.94743445965225e-34,0.292589076018019,0.171,0.088,3.3762671226991e-30,"PC RSPO3","FAM110B"
"ZNF32",6.42020632285036e-34,0.278322849305792,0.299,0.185,1.11307117019257e-29,"PC RSPO3","ZNF32"
"RPL71",4.92624022681032e-33,0.271383450604761,0.958,0.894,8.54062268122105e-29,"PC RSPO3","RPL7"
"PON21",5.19916712742111e-33,0.285489835307133,0.305,0.191,9.01379604880998e-29,"PC RSPO3","PON2"
"PTAR1",1.16938618637201e-32,0.286197250343191,0.19,0.103,2.02736483131315e-28,"PC RSPO3","PTAR1"
"ATP2B4",1.45819389831818e-32,0.250888617984155,0.122,0.056,2.52807076151422e-28,"PC RSPO3","ATP2B4"
"SRGAP2",3.53791050509375e-32,0.253350282007303,0.151,0.076,6.13367544268104e-28,"PC RSPO3","SRGAP2"
"EEF1A1",5.95418251159341e-32,0.271636291713831,0.756,0.639,1.03227662203495e-27,"PC RSPO3","EEF1A1"
"ZNF4231",6.21929013572882e-32,0.283694086912746,0.192,0.106,1.07823833083131e-27,"PC RSPO3","ZNF423"
"TAX1BP3",1.37063459863876e-31,0.302275020450254,0.352,0.235,2.37626920366002e-27,"PC RSPO3","TAX1BP3"
"TIMP11",1.63939354165576e-31,0.26372021059555,0.242,0.142,2.84221658316859e-27,"PC RSPO3","TIMP1"
"FBLN11",1.69258482439544e-31,0.279942725139499,0.435,0.306,2.93443431005438e-27,"PC RSPO3","FBLN1"
"PPP1R1A1",2.54999253935822e-31,0.298378603501298,0.283,0.179,4.42092206548535e-27,"PC RSPO3","PPP1R1A"
"ATXN7L3B",2.87274484308029e-31,0.305167497627219,0.63,0.507,4.9804777344483e-27,"PC RSPO3","ATXN7L3B"
"DPYSL5",9.27782568240876e-31,0.282788583504452,0.419,0.29,1.60849663855921e-26,"PC RSPO3","DPYSL5"
"TMEM134",1.15188152212759e-30,0.28382482582626,0.271,0.169,1.99701699491261e-26,"PC RSPO3","TMEM134"
"SREK1IP1",5.57233246623609e-30,0.314623165167974,0.441,0.317,9.66075279671352e-26,"PC RSPO3","SREK1IP1"
"SLC35F1",6.60527843718253e-30,0.275320258774241,0.173,0.094,1.14515712265434e-25,"PC RSPO3","SLC35F1"
"AGRN",1.57665139402591e-29,0.288606430900449,0.229,0.136,2.73344052182273e-25,"PC RSPO3","AGRN"
"TGFBR1",1.7781225438507e-29,0.270096971864607,0.248,0.152,3.08273105427396e-25,"PC RSPO3","TGFBR1"
"AK1",1.30836172271339e-28,0.349841912835658,0.279,0.181,2.26830671866821e-24,"PC RSPO3","AK1"
"GAMT",2.64577299457893e-28,0.263050094792546,0.356,0.241,4.58697664070149e-24,"PC RSPO3","GAMT"
"PCGF2",5.50956687200817e-28,0.303879309317525,0.259,0.166,9.55193608600057e-24,"PC RSPO3","PCGF2"
"GOLM1",5.89533182394865e-28,0.277794620674964,0.481,0.357,1.02207367831798e-23,"PC RSPO3","GOLM1"
"NPDC1",6.53486875544228e-27,0.263091027941167,0.346,0.237,1.13295019613103e-22,"PC RSPO3","NPDC1"
"CRB2",8.35578202106879e-27,0.250789036978865,0.21,0.126,1.4486419289927e-22,"PC RSPO3","CRB2"
"CXXC51",2.01256581458755e-26,0.250593503062953,0.312,0.209,3.48918535275043e-22,"PC RSPO3","CXXC5"
"TAGLN2",1.00552036530131e-25,0.253788801258533,0.128,0.066,1.74327065732288e-21,"PC RSPO3","TAGLN2"
"KLHDC8B",1.17237120618472e-24,0.251006186190586,0.156,0.088,2.03253996016245e-20,"PC RSPO3","KLHDC8B"
"LOXL11",7.10497425349774e-24,0.260019500638143,0.255,0.166,1.2317893863289e-19,"PC RSPO3","LOXL1"
"HIPK2",1.26585765814233e-19,0.250915478765968,0.334,0.241,2.19461742192136e-15,"PC RSPO3","HIPK2"
"ID2",4.56126564496257e-18,0.299868440863809,0.179,0.115,7.90786624867161e-14,"PC RSPO3","ID2"
"PSAP",7.37160839832601e-18,0.269666793886619,0.32,0.237,1.27801574801778e-13,"PC RSPO3","PSAP"
"MAP21",6.06610048436074e-17,0.254157249410389,0.388,0.298,1.05167984097362e-12,"PC RSPO3","MAP2"
"RPS4Y11",1.3271929785588e-11,0.428361281978722,0.323,0.276,2.30095446692738e-07,"PC RSPO3","RPS4Y1"
"TTR",0,7.68023948141587,0.974,0.043,0,"PC TTR","TTR"
"IGFBP7",0,3.13734789152324,0.901,0.015,0,"PC TTR","IGFBP7"
"PCP4",0,2.95853527806735,0.794,0.035,0,"PC TTR","PCP4"
"RWDD4",0,2.24850671011729,0.907,0.255,0,"PC TTR","RWDD4"
"CLIC6",0,2.24750145936512,0.687,0.003,0,"PC TTR","CLIC6"
"C6H5orf491",0,2.01359613864248,0.701,0.118,0,"PC TTR","C6H5orf49"
"ANXA21",0,1.91787862421259,0.783,0.112,0,"PC TTR","ANXA2"
"HSPB11",0,1.8755105636565,0.87,0.268,0,"PC TTR","HSPB1"
"CRABP1",0,1.79246487785863,0.297,0.015,0,"PC TTR","CRABP1"
"CFAP126",0,1.68955128783903,0.325,0.004,0,"PC TTR","CFAP126"
"CA2",0,1.66506796226005,0.513,0.004,0,"PC TTR","CA2"
"PCSK1N2",0,1.64014580932766,0.969,0.488,0,"PC TTR","PCSK1N"
"ATP11C",0,1.60252107638464,0.581,0.03,0,"PC TTR","ATP11C"
"FOXJ11",0,1.54624039928604,0.343,0.035,0,"PC TTR","FOXJ1"
"KCNJ131",0,1.51390153626732,0.513,0.025,0,"PC TTR","KCNJ13"
"FGGY",0,1.46622970883653,0.595,0.051,0,"PC TTR","FGGY"
"ENO3",0,1.46493659088302,0.533,0.067,0,"PC TTR","ENO3"
"TMEM88",0,1.4255064080845,0.51,0.016,0,"PC TTR","TMEM88"
"CHODL",0,1.36141867199565,0.45,0.028,0,"PC TTR","CHODL"
"CLDN5",0,1.35139095563548,0.362,0.014,0,"PC TTR","CLDN5"
"COLEC12",0,1.33090158453269,0.421,0.005,0,"PC TTR","COLEC12"
"C15H9orf24",0,1.32916975352698,0.266,0.015,0,"PC TTR","C15H9orf24"
"SULF1",0,1.30178030331468,0.455,0.026,0,"PC TTR","SULF1"
"VAT1L",0,1.2915042483021,0.419,0.016,0,"PC TTR","VAT1L"
"PIFO",0,1.23106546392401,0.286,0.004,0,"PC TTR","PIFO"
"NPVF",0,1.22321080933428,0.15,0,0,"PC TTR","NPVF"
"SNTG1",0,1.19926991858407,0.376,0.003,0,"PC TTR","SNTG1"
"DKK2",0,1.19818322432664,0.368,0.003,0,"PC TTR","DKK2"
"LYPD1",0,1.19387730383439,0.368,0.013,0,"PC TTR","LYPD1"
"ASB13",0,1.19063867160558,0.461,0.027,0,"PC TTR","ASB13"
"QRICH2",0,1.15652606830575,0.38,0.001,0,"PC TTR","QRICH2"
"HTR2C",0,1.13858704853623,0.302,0.001,0,"PC TTR","HTR2C"
"RBM47",0,1.13282867365772,0.365,0.002,0,"PC TTR","RBM47"
"SOSTDC1",0,1.10370989426281,0.333,0.003,0,"PC TTR","SOSTDC1"
"SLC17A8",0,1.09955330135522,0.298,0.001,0,"PC TTR","SLC17A8"
"SAMD11",0,1.08744075217321,0.342,0.012,0,"PC TTR","SAMD11"
"PPP2R2B",0,1.06039572600391,0.424,0.044,0,"PC TTR","PPP2R2B"
"SLC29A4",0,1.00581272383581,0.407,0.037,0,"PC TTR","SLC29A4"
"PLS3",0,0.997086198618813,0.373,0.036,0,"PC TTR","PLS3"
"TMEM200A",0,0.972672433704064,0.31,0.011,0,"PC TTR","TMEM200A"
"LINGO1",0,0.898860876645983,0.332,0.018,0,"PC TTR","LINGO1"
"SLC38A11",0,0.878080639062011,0.293,0.001,0,"PC TTR","SLC38A11"
"CAPSL",0,0.855053974822967,0.219,0.001,0,"PC TTR","CAPSL"
"APOE",0,0.853738232266215,0.335,0.027,0,"PC TTR","APOE"
"SLC16A10",0,0.818492156024608,0.283,0.005,0,"PC TTR","SLC16A10"
"IGFBP6",0,0.802293618383022,0.172,0.002,0,"PC TTR","IGFBP6"
"EFCAB10",0,0.791296847057476,0.18,0.002,0,"PC TTR","EFCAB10"
"MITF",0,0.770320625644793,0.281,0.011,0,"PC TTR","MITF"
"MAF",0,0.763363381742781,0.284,0.014,0,"PC TTR","MAF"
"SLC7A8",0,0.762941824177972,0.259,0.005,0,"PC TTR","SLC7A8"
"CLDN19",0,0.735301337902153,0.251,0.002,0,"PC TTR","CLDN19"
"SERPINF1",0,0.712916255204906,0.271,0.012,0,"PC TTR","SERPINF1"
"MSX1",0,0.7120424842917,0.227,0.002,0,"PC TTR","MSX1"
"PDZRN3",0,0.696651681470531,0.238,0.007,0,"PC TTR","PDZRN3"
"TRPM3",0,0.694093031815377,0.247,0.007,0,"PC TTR","TRPM3"
"GALNT10",0,0.682411375467317,0.231,0.013,0,"PC TTR","GALNT10"
"ADA",0,0.662604974657927,0.19,0.005,0,"PC TTR","ADA"
"SLC4A5",0,0.657570949693643,0.198,0.002,0,"PC TTR","SLC4A5"
"NPY5R",0,0.641050978915951,0.195,0.003,0,"PC TTR","NPY5R"
"C3H21orf62",0,0.619924895254388,0.197,0.008,0,"PC TTR","C3H21orf62"
"RGS5",0,0.611710961049736,0.185,0.005,0,"PC TTR","RGS5"
"DAB2",0,0.609906601929717,0.198,0.008,0,"PC TTR","DAB2"
"NR4A2",0,0.602011590719678,0.184,0.006,0,"PC TTR","NR4A2"
"GDF5",0,0.599195169691326,0.194,0.006,0,"PC TTR","GDF5"
"CACNA2D3",0,0.570608554049362,0.189,0.004,0,"PC TTR","CACNA2D3"
"LGI1",0,0.562923780639768,0.193,0.008,0,"PC TTR","LGI1"
"PGM5",0,0.531096901175464,0.168,0.002,0,"PC TTR","PGM5"
"MET",7.78646596999937e-307,0.440425582866582,0.135,0.002,1.34993960521879e-302,"PC TTR","MET"
"GRM8",1.56958347748594e-301,0.619720768332849,0.223,0.012,2.72118687491737e-297,"PC TTR","GRM8"
"CFAP45",5.22538714369152e-300,0.38308756864522,0.115,0.001,9.05925369101799e-296,"PC TTR","CFAP45"
"CGNL1",1.40070326020418e-296,0.401832956485797,0.128,0.002,2.42839924221598e-292,"PC TTR","CGNL1"
"NPY1R",1.81808138923894e-283,0.505740295986016,0.159,0.005,3.15200770452354e-279,"PC TTR","NPY1R"
"SLC13A4",1.44819385332964e-282,0.707774003491018,0.195,0.01,2.51073368351759e-278,"PC TTR","SLC13A4"
"EFCAB1",6.21530715957988e-282,0.476730649263912,0.122,0.002,1.07754780225636e-277,"PC TTR","EFCAB1"
"AKAP14",1.6100981950474e-277,0.672090619886772,0.143,0.004,2.79142724075367e-273,"PC TTR","AKAP14"
"OCA2",6.43760076937261e-277,0.561835129637647,0.216,0.013,1.11608684538613e-272,"PC TTR","OCA2"
"ARHGAP18",9.98271117064709e-277,0.610306924387224,0.216,0.013,1.73070263565509e-272,"PC TTR","ARHGAP18"
"GPR160",2.60624576880275e-275,0.356821169012409,0.115,0.001,4.51844828937333e-271,"PC TTR","GPR160"
"CCNO",9.39966133982646e-275,1.08597183725923,0.162,0.006,1.62961928648571e-270,"PC TTR","CCNO"
"TSTD11",4.72667965401609e-272,1.02206888979065,0.494,0.086,8.19464451616769e-268,"PC TTR","TSTD1"
"C15H9orf116",3.09899008717551e-271,1.68128871994249,0.605,0.133,5.37271911413619e-267,"PC TTR","C15H9orf116"
"ID31",9.8865038786479e-271,1.51594361018298,0.756,0.214,1.71402317744119e-266,"PC TTR","ID3"
"SPAG1",2.07529598749774e-270,0.58510895903973,0.197,0.011,3.59794065352483e-266,"PC TTR","SPAG1"
"PRKCQ",5.19037120830766e-269,0.335520079302226,0.108,0.001,8.99854656384299e-265,"PC TTR","PRKCQ"
"FAM183A",6.65800866936446e-264,0.75660701572865,0.1,0.001,1.15429896300772e-259,"PC TTR","FAM183A"
"ID21",9.3199004848382e-262,1.12278267797929,0.53,0.102,1.6157911470564e-257,"PC TTR","ID2"
"PDGFC",1.53587516731461e-260,0.801425463266743,0.33,0.039,2.66274677757334e-256,"PC TTR","PDGFC"
"OPCML",6.76027934266073e-260,0.592769599614122,0.212,0.014,1.17202962963709e-255,"PC TTR","OPCML"
"SPAG8",1.17349526353459e-258,0.401305560609433,0.11,0.001,2.03448873838991e-254,"PC TTR","SPAG8"
"FXYD1",2.79515721727905e-257,0.569609041961386,0.177,0.009,4.84596406759668e-253,"PC TTR","FXYD1"
"GJA11",3.34586063648263e-257,1.01928368184649,0.471,0.082,5.80071858546993e-253,"PC TTR","GJA1"
"CYSTM1",7.07694566997475e-256,0.901937450652892,0.395,0.058,1.22693007080352e-251,"PC TTR","CYSTM1"
"SPAG6",8.44760824062707e-255,0.379719623964199,0.103,0.001,1.46456184067752e-250,"PC TTR","SPAG6"
"C14H11orf97",2.15305449595625e-254,0.46332755787488,0.102,0.001,3.73275057963935e-250,"PC TTR","C14H11orf97"
"SLC23A2",9.676287275225e-250,0.548010417120317,0.177,0.009,1.67757792490576e-245,"PC TTR","SLC23A2"
"RDX",1.72686821621267e-239,1.48194750985774,0.885,0.425,2.99387142644791e-235,"PC TTR","RDX"
"FLRT21",1.61429588390406e-234,0.689872844392869,0.289,0.033,2.79870477392447e-230,"PC TTR","FLRT2"
"SLC16A12",4.89202249580452e-226,0.351144856510825,0.117,0.003,8.48129940097629e-222,"PC TTR","SLC16A12"
"BMP4",5.51684073634404e-223,0.371207172207491,0.109,0.002,9.56454678459966e-219,"PC TTR","BMP4"
"NMB",1.28536263671168e-219,0.741377485267059,0.298,0.038,2.22843320326703e-215,"PC TTR","NMB"
"RESP18",2.3099889448047e-219,0.491572255989149,0.109,0.003,4.00482783360791e-215,"PC TTR","RESP18"
"CAB39L",1.65603785649433e-217,0.655040926942534,0.253,0.027,2.87107283180421e-213,"PC TTR","CAB39L"
"PRNP",1.56919737495112e-214,0.785796431019405,0.316,0.044,2.72051748895275e-210,"PC TTR","PRNP"
"SPOCK1",9.25613102259026e-212,0.563438196053391,0.152,0.008,1.60473543538647e-207,"PC TTR","SPOCK1"
"ID11",2.44098174837327e-211,1.41320963555662,0.778,0.293,4.23193005715473e-207,"PC TTR","ID1"
"DNAJB13",3.2376355205743e-207,0.425120401666504,0.132,0.006,5.61308870201966e-203,"PC TTR","DNAJB13"
"MECOM",1.97179688157186e-202,0.663260976685232,0.263,0.032,3.41850425358113e-198,"PC TTR","MECOM"
"OTX22",3.8119551108141e-198,1.05456723248596,0.634,0.178,6.60878657561841e-194,"PC TTR","OTX2"
"KLHDC8B1",1.41532241887921e-195,0.844992836068386,0.417,0.081,2.45374447761088e-191,"PC TTR","KLHDC8B"
"LRRC46",1.15712657546656e-194,0.4507668221948,0.103,0.003,2.00611034388638e-190,"PC TTR","LRRC46"
"ROMO1",1.28890189917216e-191,1.29929831693452,0.959,0.641,2.23456922259478e-187,"PC TTR","ROMO1"
"HTR2A",1.20758698394014e-190,0.494328711151715,0.169,0.013,2.09359355405703e-186,"PC TTR","HTR2A"
"NTM1",1.18242211655925e-188,0.675160029032464,0.276,0.037,2.04996522347877e-184,"PC TTR","NTM"
"TGFBR2",7.36728106111079e-188,0.388612961893622,0.143,0.008,1.27726551756478e-183,"PC TTR","TGFBR2"
"ODF3B",5.36872083017004e-183,0.778284871038003,0.175,0.015,9.30775130326579e-179,"PC TTR","ODF3B"
"RPS231",6.48449781962685e-183,0.6664815775768,0.997,0.995,1.12421738698871e-178,"PC TTR","RPS23"
"ELOVL4",7.48350676571934e-183,0.62212288888185,0.218,0.024,1.29741556797276e-178,"PC TTR","ELOVL4"
"CRIP1",2.00903621322337e-182,1.68721555900261,0.242,0.031,3.48306608286536e-178,"PC TTR","CRIP1"
"SLC9A3R1",1.27610372924371e-181,0.635439899829035,0.292,0.043,2.21238103538982e-177,"PC TTR","SLC9A3R1"
"RBMS11",8.83222532739369e-180,0.644299697588179,0.252,0.033,1.53124290501024e-175,"PC TTR","RBMS1"
"COL26A1",1.53681193382045e-174,0.439572003053282,0.163,0.013,2.66437084966451e-170,"PC TTR","COL26A1"
"PARP8",8.99709070465121e-173,0.756640278676999,0.348,0.064,1.55982561546538e-168,"PC TTR","PARP8"
"HOOK1",9.63939927768795e-172,0.549091005231554,0.239,0.031,1.67118265277276e-167,"PC TTR","HOOK1"
"PCOLCE",1.07913269220938e-171,0.28369459645092,0.102,0.004,1.87089234848341e-167,"PC TTR","PCOLCE"
"PKIB",3.05565428976339e-171,0.425636615292335,0.129,0.007,5.29758784216279e-167,"PC TTR","PKIB"
"RIBC2",9.13489626101867e-171,0.370391274333782,0.105,0.004,1.58371696477281e-166,"PC TTR","RIBC2"
"PLTP1",8.81213208875381e-170,1.00912462165817,0.504,0.132,1.52775934022725e-165,"PC TTR","PLTP"
"LMX1A",7.14554956372422e-169,0.456209696210482,0.175,0.016,1.23882392786287e-164,"PC TTR","LMX1A"
